pm_name,pm_Latitude,pm_Longitude,pm_type,pm_LandPublicArea,pm_location
豐年公園,25.136009216,121.49665833,公園,1565,位於北投區豐年里中央北路大業路口
關渡公園,25.11973,121.46369,公園,23351,知行路210巷底
觀海公園,25.123580933,121.46344757,公園,8824,中央北路4段601巷附近
嗄嘮別公園,25.140350342,121.48442078,公園,21888,中央北路三段、桃源國小東北側
大業綠地(北投163號),25.136240005,121.49053955,綠地,13517,大業路西側大度路口起延伸至大業路517巷旁田埂路
中和綠地,25.141880035,121.49880219,綠地,315,中和街363號附近
天溪綠地,25.13519,121.5301,綠地,51407,行義路58巷33號附近
文化綠地,25.137449,121.498406,綠地,1257,大業路、永興路一段交叉口
北投106號綠地,25.1110820768,121.5209045457,綠地,3502,建明路165之1及明德路旁(石牌綠地系統)
北投120號綠地,25.120132,121.501115,綠地,1752,承德路七段400號前(公館路至磺港溪間)
北投121號綠地,25.116640091,121.50498962,綠地,2774,承德路七段214號前東側
北投122號綠地,25.113069534,121.50892639,綠地,1677,承德路七段168號旁前東側
北投123號綠地,25.117135,121.503849,綠地,4890,承德路七段前西側(尊賢街267巷口對面起迄立農公園對面)
北投124號綠地,25.114865,121.506329,綠地,23261,承德路六段到承德路七段(福國路口起迄立賢西路口間)前西側
北投135號綠地,25.111839294,121.51030731,綠地,1306,承德路七段上(32巷至石牌路一段間)
北投138號綠地,25.114419937,121.50273895,綠地,9155,承德路七段右側，立賢路南側
北投160號綠地,25.135316,121.496586,綠地,441,大業路二段533-545號前
北投161號綠地 (田心仔綠地),25.135139465,121.49492645,綠地,6150,中央北路二段257巷東側，大業路525巷6弄旁
北投164號綠地,25.133449554,121.49597931,綠地,2565,大業路東側，十信工高旁
北投165號綠地,25.131759644,121.49623871,綠地,1362,大業路452巷
北投166號綠地,25.13051033,121.49687195,綠地,1283,大業路東側
北投167號綠地,25.128405,121.497707,綠地,2208,大業路400號東側
北投168號綠地,25.124370575,121.49919128,綠地,4510,大業路50號東側
北投169號綠地,25.12072,121.499533,綠地,2809,大度路一段，承德路口南側
北投181號一德綠地,25.123939514,121.46476746,綠地,414,大度路三段，中央北路四段(萬善宮旁)
北投182號綠地,25.123399734,121.46772766,綠地,5857,大度路三段274號北側
北投183號綠地,25.123010635,121.47186279,綠地,1851,大度路三段北側
北投185號綠地,25.123425,121.464987,綠地,2600,大度路三段南側(關渡派出所後)
