name,category,lat,lon,address
皇城司企業股份有限公司,餐廳,25.056761,121.527861,臺北市中山區新生北路2段75號1樓
金華苑國際股份有限公司,餐廳,25.026633,121.561274,臺北市信義區吳興街220巷59弄1號1樓
天青茶飲有限公司,餐廳,25.060113,121.541731,臺北市中山區錦州街408號
王府貓有限公司,餐廳,25.027211,121.556014,臺北市信義區基隆路2段133號12樓
歡宴股份有限公司,餐廳,25.035564,121.567734,臺北市信義區松壽路22號3樓
黑狗餐飲有限公司,餐廳,25.021063,121.556451,臺北市信義區和平東路3段333號
豐豐富股份有限公司,餐廳,25.053113,121.514005,臺北市大同區重慶北路1段112號
五告讚創意整合行銷有限公司,餐廳,25.051833,121.534199,臺北市中山區南京東路2段150號7樓
五吉興業有限公司,餐廳,25.0484,121.56108,臺北市松山區八德路4段108號
健力輕飲有限公司,餐廳,25.069486,121.583806,臺北市內湖區瑞光路13號
極度飯桶有限公司,餐廳,25.055389,121.514252,臺北市大同區重慶北路2段53號1樓
冠昱餐飲有限公司,餐廳,25.05749,121.566197,臺北市松山區新東街8號1樓
漢霖健康事業有限公司,餐廳,25.058197,121.525124,臺北市中山區民生東路1段29號地下1樓
圓和素鍋有限公司,餐廳,25.066009,121.516383,臺北市大同區昌吉街47號
喝了沒餐飲有限公司,餐廳,25.041097,121.549728,臺北市大安區忠孝東路4段146巷1號1樓
鉅客永饕股份有限公司,餐廳,25.042424,121.568563,臺北市信義區永吉路30巷158弄3號1樓
常殊有限公司,餐廳,25.049803,121.528013,臺北市中山區林森北路107巷89號
品侑國際事業有限公司,餐廳,25.052534,121.521814,臺北市中山區南京西路1之1號10樓
卓勺有限公司,餐廳,25.019241,121.530523,臺北市大安區羅斯福路3段269巷6號
夏都地產開發股份有限公司,餐廳,25.051213,121.563747,臺北市松山區南京東路五段188號四樓之5
喬壹有限公司,餐廳,25.133379,121.496047,臺北市北投區大業路512號1樓
盒夥旅食發展股份有限公司,餐廳,25.046565,121.570857,臺北市信義區基隆路1段83巷36號4樓
頡心醉食餐飲有限公司,餐廳,25.108176,121.529455,臺北市士林區德行東路143號
台灣魁力屋國際股份有限公司,餐廳,25.030982,121.558531,臺北市信義區基隆路2段51號14樓
葡園聖角股份有限公司,餐廳,25.039515,121.565242,臺北市信義區松高路11號25樓
樂翡有限公司,餐廳,25.027538,121.555367,臺北市大安區通化街171巷38號
輝泰數位股份有限公司,餐廳,25.07231,121.577929,臺北市內湖區陽光街345巷12號4樓
佳滿餐飲有限公司,餐廳,25.022255,121.549903,臺北市大安區基隆路2段266號1樓
煥泌生技股份有限公司,餐廳,25.026917,121.541918,臺北市大安區和平東路2段175巷35號1樓
唇癮有限公司,餐廳,25.027168,121.543255,臺北市大安區復興南路2段188號
白鳳股份有限公司,餐廳,25.044657,121.535229,臺北市大安區市民大道3段148號1樓
鑫光本家股份有限公司,餐廳,25.04271634,121.5113933,臺北市中山區博愛路154號4樓
益人咖啡股份有限公司,餐廳,25.040534,121.554154,臺北市大安區忠孝東路4段248巷13號
馬越國際開發股份有限公司,餐廳,25.052578,121.519993,臺北市大同區南京西路22號地下一層
台藝美學有限公司,餐廳,25.054186,121.510497,臺北市大同區南京西路233巷9號
揪福企業股份有限公司,餐廳,25.043434,121.50824,臺北市萬華區中華路1段136號1樓
元素五愛德曼特有限公司,餐廳,25.039514,121.565073,臺北市信義區松高路9號25樓
李俊昊有限公司,餐廳,25.022058,121.550507,臺北市大安區樂業街68號
神奇黑傑克股份有限公司,餐廳,25.083407,121.553856,臺北市中山區敬業一路128巷47號1樓
樂生活餐飲股份有限公司,餐廳,25.044478,121.537173,臺北市大安區市民大道3段178號6樓之2
旭呈管理顧問有限公司,餐廳,25.05074,121.553586,臺北市松山區南京東路4段52巷8號1樓
湊兩塊有限公司,餐廳,25.084695,121.557357,臺北市中山區北安路837號1樓
甘露坊有限公司,餐廳,25.034057,121.559951,臺北市信義區基隆路1段420號2樓之4
蓮花國國際有限公司,餐廳,25.11647207,121.5157728,臺北市北投區裕民4路5號1樓
甘美科技實業股份有限公司,餐廳,25.063286,121.541697,臺北市中山區龍江路345巷14號
真毅餐飲有限公司,餐廳,25.055143,121.550123,臺北市松山區敦化北路199巷2弄19號1樓
艾萱有限公司,餐廳,25.037648,121.535746,臺北市大安區仁愛路3段26號5樓
佐友逢緣有限公司,餐廳,25.051832,121.534396,臺北市中山區南京東路2段160號6樓
安全時期有限公司,餐廳,25.065467,121.525167,臺北市中山區雙城街19巷21號8樓
